date,description,amount,category
2024-01-15,Grocery Shopping,-85.42,Food & Dining
2024-01-16,Monthly Salary,3500.00,Income
2024-01-17,Electric Bill,-120.00,Bills & Utilities
2024-01-18,Coffee Shop,-5.50,Food & Dining
2024-01-19,Gas Station,-45.00,Transportation
2024-01-20,Freelance Project,750.00,Income
2024-01-22,Restaurant Dinner,-65.00,Food & Dining
2024-01-23,Online Shopping,-120.00,Shopping
2024-01-25,Gym Membership,-50.00,Healthcare
2024-01-26,Movie Tickets,-30.00,Entertainment
2024-01-28,Phone Bill,-55.00,Bills & Utilities
2024-01-30,Stock Dividend,125.50,Income
2024-02-01,Rent Payment,-1200.00,Bills & Utilities
2024-02-02,Grocery Shopping,-92.15,Food & Dining
2024-02-03,Uber Ride,-18.50,Transportation
2024-02-05,Book Purchase,-25.00,Education
2024-02-07,Haircut,-35.00,Other
2024-02-10,Side Project Payment,500.00,Income
2024-02-12,Streaming Services,-45.00,Entertainment
2024-02-15,Monthly Salary,3500.00,Income
